id,date,degree,semester,course,age,lectures_completed,device_usage,notes,side_usage,pages_usage,color,color_usage,printing_reason,printing_location,printing_decision,printing_amount
1,2025-05-19,bachelor,1,Engineering,24,0,laptop,digitally,double-sided,4,black-and-white,tables,exam preparation,university,environmental concerns,0 - 10
1,2025-05-19,bachelor,1,Engineering,24,0,laptop,digitally,double-sided,4,black-and-white,diagrams,exam preparation,university,environmental concerns,0 - 10
1,2025-05-19,bachelor,1,Engineering,24,0,laptop,digitally,double-sided,4,black-and-white,cheatsheet for exam,exam preparation,university,environmental concerns,0 - 10
3,2025-05-19,master,1,Engineering,26,0,tablet,paper,double-sided,1,colors,tables,exam preparation,university,environmental concerns,51 - 100
3,2025-05-19,master,1,Engineering,26,0,tablet,paper,double-sided,1,colors,tables,exam preparation,copy shop,environmental concerns,51 - 100
3,2025-05-19,master,1,Engineering,26,0,tablet,paper,double-sided,1,colors,diagrams,exam preparation,university,environmental concerns,51 - 100
3,2025-05-19,master,1,Engineering,26,0,tablet,paper,double-sided,1,colors,diagrams,exam preparation,copy shop,environmental concerns,51 - 100
3,2025-05-19,master,1,Engineering,26,0,tablet,paper,double-sided,1,colors,cheatsheet for exam,exam preparation,university,environmental concerns,51 - 100
3,2025-05-19,master,1,Engineering,26,0,tablet,paper,double-sided,1,colors,cheatsheet for exam,exam preparation,copy shop,environmental concerns,51 - 100
3,2025-05-19,master,1,Engineering,26,0,tablet,paper,double-sided,1,colors,books,exam preparation,university,environmental concerns,51 - 100
3,2025-05-19,master,1,Engineering,26,0,tablet,paper,double-sided,1,colors,books,exam preparation,copy shop,environmental concerns,51 - 100
3,2025-05-19,master,1,Engineering,26,0,tablet,paper,double-sided,1,colors,lecture slides,exam preparation,university,environmental concerns,51 - 100
3,2025-05-19,master,1,Engineering,26,0,tablet,paper,double-sided,1,colors,lecture slides,exam preparation,copy shop,environmental concerns,51 - 100
4,2025-05-19,master,2,Engineering,25,5,laptop,paper,double-sided,1,colors,tables,exam preparation,university,convenience,11 - 50
4,2025-05-19,master,2,Engineering,25,5,laptop,paper,double-sided,1,colors,diagrams,exam preparation,university,convenience,11 - 50
4,2025-05-19,master,2,Engineering,25,5,laptop,paper,double-sided,1,colors,cheatsheet for exam,exam preparation,university,convenience,11 - 50
5,2025-05-20,bachelor,2,Engineering,19,6,tablet,digitally,double-sided,4,black-and-white,cheatsheet for exam,annotation,university,convenience,> 500
5,2025-05-20,bachelor,2,Engineering,19,6,tablet,digitally,double-sided,4,black-and-white,old exams,annotation,university,convenience,> 500
5,2025-05-20,bachelor,2,Engineering,19,6,tablet,digitally,double-sided,4,black-and-white,notes,annotation,university,convenience,> 500
